"species_scientific","matched_species"
"acacia baileyana","Acacia baileyana"
"acacia melanoxylon","Acacia melanoxylon"
"acacia spp","Acacia"
"acer buergeranum","Acer buergerianum"
"acer negundo","Acer negundo"
"acer nigrum 'greencolumn'","Acer nigrum"
"acer palmatum","Acer palmatum"
"acer platanoides","Acer platanoides"
"acer platanoides 'columnar'","Acer platanoides"
"acer platanoides 'crimson sentry'","Acer platanoides"
"acer rubrum","Acer rubrum"
"acer rubrum 'armstrong'","Acer rubrum"
"acer rubrum 'autumn flame'","Acer rubrum"
"acer rubrum 'frank jr.' redpointe","Acer rubrum"
"acer rubrum 'october glory'","Acer rubrum"
"acer saccharinum","Acer saccharinum"
"acer spp","Acer"
"acer tataricum ""jfs-kw2'","Acer tataricum"
"acer tataricum ginnala","Acer tataricum ginnala"
"acer x freemani 'marmo'","Acer freemanii"
"acer x freemanii","Acer freemanii"
"aesculus california","Aesculus californica"
"aesculus carnea","Aesculus carnea"
"aesculus pavia","Aesculus pavia"
"aesculus x carnea 'briotii'","Aesculus carnea"
"ailanthus altissima","Ailanthus altissima"
"albizia julibrissin","Albizia julibrissin"
"alnus cordata","Alnus cordata"
"alnus rhombifolia","Alnus rhombifolia"
"araucaria spp","Araucaria"
"arbutus marina","Arbutus"
"arbutus unedo","Arbutus unedo"
"betula pendula","Betula pendula"
"betula spp","Betula"
"brachychiton populneus","Brachychiton populneus"
"callistemon citrinus","Callistemon citrinus"
"callistemon viminalis","Callistemon viminalis"
"calocedrus decurrens","Calocedrus decurrens"
"carpinus betulus 'fastigia","Carpinus betulus"
"carpinus betulus 'fastigiata'","Carpinus betulus"
"carpinus betulus 'jfs-kw1cb' pp 22814","Carpinus betulus"
"carpinus caroliniana","Carpinus caroliniana"
"carya illinoinensis","Carya illinoinensis"
"casuarina equisetifolia","Casuarina equisetifolia"
"catalpa speciosa","Catalpa speciosa"
"cedrus atlantica","Cedrus atlantica"
"cedrus deodara","Cedrus deodara"
"celtis australis","Celtis australis"
"celtis occidentalis","Celtis occidentalis"
"celtis reticulata","Celtis reticulata"
"celtis sinensis","Celtis sinensis"
"ceratonia siliqua","Ceratonia siliqua"
"cercis canadensis","Cercis canadensis"
"cercis spp","Cercis"
"chamaerops humilis","Chamaerops humilis"
"chionanthus retusus","Chionanthus retusus"
"chitalpa tashkentensis","Chitalpa tashkentensis"
"cinnamomum camphora","Cinnamomum camphora"
"citrus spp","Citrus"
"cornus florida","Cornus florida"
"cornus spp","Cornus"
"corylus colurna","Corylus colurna"
"crataegus laevigata","Crataegus laevigata"
"crataegus laevigata 'crimson cloud'","Crataegus laevigata"
"crataegus lavallei","Crataegus lavallei"
"cupressocyparis leylandii","Cupressocyparis leylandii"
"cupressus arizonica","Cupressus arizonica"
"cupressus macrocarpa","Cupressus macrocarpa"
"cupressus sempervirens","Cupressus sempervirens"
"diospyros kaki","Diospyros kaki"
"dodonaea viscosa","Dodonaea viscosa"
"eriobotrya deflexa","Eriobotrya deflexa"
"eriobotrya japonica","Eriobotrya japonica"
"eucalyptus cinerea","Eucalyptus cinerea"
"eucalyptus globulus","Eucalyptus globulus"
"eucalyptus nicholii","Eucalyptus nicholii"
"eucalyptus polyanthemos","Eucalyptus polyanthemos"
"eucalyptus sideroxylon","Eucalyptus sideroxylon"
"eucalyptus spp","Eucalyptus"
"fagus sylvatica","Fagus sylvatica"
"feijoa sellowiana","Feijoa sellowiana"
"ficus nitida","Ficus nitida"
"ficus rubiginosa","Ficus rubiginosa"
"fortunella spp","Fortunella"
"fraxinus americana 'autumn purple'","Fraxinus americana"
"fraxinus excelsior","Fraxinus excelsior"
"fraxinus oxycarpa","Fraxinus oxycarpa"
"fraxinus pennsylvanica","Fraxinus pennsylvanica"
"fraxinus pennsylvanica 'patmore'","Fraxinus pennsylvanica"
"fraxinus spp","Fraxinus"
"fraxinus uhdei","Fraxinus uhdei"
"fraxinus velutina","Fraxinus velutina"
"fraxinus velutina modesto","Fraxinus velutina"
"geijera parviflora","Geijera parviflora"
"ginkgo biloba","Ginkgo biloba"
"gleditsia triacanthos","Gleditsia triacanthos"
"grevillea robusta","Grevillea robusta"
"gymnocladus dioicus","Gymnocladus dioicus"
"jacaranda mimosifolia","Jacaranda mimosifolia"
"juglans hindsii","Juglans hindsii"
"juglans nigra","Juglans nigra"
"juglans regia","Juglans regia"
"juniperus spp","Juniperus"
"koelreuteria bipinnata","Koelreuteria bipinnata"
"koelreuteria paniculata","Koelreuteria paniculata"
"laburnum anagyroides","Laburnum anagyroides"
"lagerstroemia indica","Lagerstroemia indica"
"lagerstroemia spp","Lagerstroemia"
"laurus nobilis","Laurus nobilis"
"ligustrum japonica","Ligustrum japonica"
"ligustrum lucidum","Ligustrum lucidum"
"liquidambar formosana","Liquidambar formosana"
"liquidambar styraciflua","Liquidambar styraciflua"
"liriodendron tulipifera","Liriodendron tulipifera"
"magnolia grandiflora","Magnolia grandiflora"
"magnolia grandiflora 'little gem'","Magnolia grandiflora"
"magnolia stellata","Magnolia stellata"
"magnolia x soulangiana","Magnolia soulangiana"
"malus spp","Malus"
"maytenus boaria","Maytenus boaria"
"melia azedarach","Melia azedarach"
"metasequoia glyptostroboi","Metasequoia glyptostroboides"
"morus alba","Morus alba"
"musa spp","Musa"
"nerium oleander","Nerium oleander"
"nyssa sylvatica","Nyssa sylvatica"
"olea europaea","Olea europaea"
"ostrya virginiana american","Ostrya virginiana"
"parrotia persica","Parrotia persica"
"paulownia tomentosa","Paulownia tomentosa"
"persea spp","Persea"
"phoenix canariensis","Phoenix canariensis"
"photinia x fraseri","Photinia fraseri"
"picea abies","Picea abies"
"picea pungens","Picea pungens"
"pinus canariensis","Pinus canariensis"
"pinus elderica","Pinus eldarica"
"pinus halepensis","Pinus halepensis"
"pinus pinea","Pinus pinea"
"pinus ponderosa","Pinus ponderosa"
"pinus radiata","Pinus radiata"
"pinus spp","Pinus"
"pinus thunbergiana","Pinus thunbergiana"
"pistacia atlantica","Pistacia atlantica"
"pistacia chinensis","Pistacia chinensis"
"platanus racemosa","Platanus racemosa"
"platanus x acerifolia","Platanus acerifolia"
"platycladus orientalis","Platycladus orientalis"
"podocarpus gracilior","Podocarpus gracilior"
"podocarpus macrophylla","Podocarpus macrophylla"
"podocarpus macrophyllus","Podocarpus macrophyllus"
"populus alba","Populus alba"
"populus fremontii","Populus fremontii"
"populus grandidentata","Populus grandidentata"
"populus nigra italica","Populus nigra italica"
"prunus americana","Prunus americana"
"prunus caroliniana","Prunus caroliniana"
"prunus cerasifera 'cripoizam' crimson pointe","Prunus cerasifera"
"prunus cerasifera spp","Prunus cerasifera"
"prunus dulcis","Prunus dulcis"
"prunus laurocerasus","Prunus laurocerasus"
"prunus lyonii","Prunus lyonii"
"prunus serrulata","Prunus serrulata"
"prunus spp","Prunus"
"pseudotsuga menziesii","Pseudotsuga menziesii"
"pterocarya stenoptera","Pterocarya stenoptera"
"punica granatum","Punica granatum"
"pyrus calleryana 'autumn blaze'","Pyrus calleryana"
"pyrus calleryana 'redspire'","Pyrus calleryana"
"pyrus calleryana spp","Pyrus calleryana"
"pyrus kawakamii","Pyrus kawakamii"
"quercus acutissima","Quercus acutissima"
"quercus agrifolia","Quercus agrifolia"
"quercus castaneafolia","Quercus castaneifolia"
"quercus coccinea","Quercus coccinea"
"quercus douglasii","Quercus douglasii"
"quercus frainetto 'schmidt' forest green","Quercus frainetto"
"quercus ilex","Quercus ilex"
"quercus imbricaria","Quercus imbricaria"
"quercus kelloggii","Quercus kelloggii"
"quercus lobata","Quercus lobata"
"quercus macrocarpa","Quercus macrocarpa"
"quercus macrocarpa 'jfs-kw3' p.a.f.","Quercus macrocarpa"
"quercus muehlenbergi","Quercus muehlenbergii"
"quercus palustris","Quercus palustris"
"quercus phellos","Quercus phellos"
"quercus robur 'fastigiata' skyrocket","Quercus robur"
"quercus robur x bicolor 'long regal prince'","Quercus robur"
"quercus rubra","Quercus rubra"
"quercus shumardii","Quercus shumardii"
"quercus spp","Quercus"
"quercus suber","Quercus suber"
"quercus virginiana","Quercus virginiana"
"quercus wislizeni","Quercus wislizeni"
"quercus x macdanielii 'clemons' pp 11431","Quercus macdanielii"
"rhus lancea","Rhus lancea"
"robinia ambigua idahoensis","Robinia ambigua"
"robinia pseudoacacia","Robinia pseudoacacia"
"salix babylonica","Salix babylonica"
"salix spp","Salix"
"sapium sebiferum","Sapium sebiferum"
"schinus molle","Schinus molle"
"sequoia sempervirens","Sequoia sempervirens"
"sequoiadendron giganteum","Sequoiadendron giganteum"
"sophora japonica","Sophora japonica"
"styrax japonicus","Styrax japonicus"
"syagrus romanzoffiana","Syagrus romanzoffiana"
"syringa pekinensis 'dtr 124' pp 8951","Syringa pekinensis"
"taxodium distichum","Taxodium distichum"
"taxus brevifolia","Taxus brevifolia"
"thuja spp","Thuja"
"tilia americana","Tilia americana"
"tilia americana x euchlora ‘redmond’","Tilia americana"
"tilia cordata","Tilia cordata"
"tilia x flavescens 'glenleven'","Tilia flavescens"
"trachycarpus fortune","Trachycarpus fortunei"
"ulmus 'frontier'","Ulmus"
"ulmus 'pioneer'","Ulmus"
"ulmus americana","Ulmus americana"
"ulmus parvifolia","Ulmus parvifolia"
"ulmus procera","Ulmus procera"
"ulmus propinqua 'jfs-bieberich' emerald sunshine","Ulmus propinqua"
"ulmus pumila","Ulmus pumila"
"ulmus spp","Ulmus"
"ulmus wilsoniana 'prospector'","Ulmus wilsoniana"
"umbellularia californica","Umbellularia californica"
"Unknown spp","Unknown"
"vitex negundo","Vitex negundo"
"washingtonia filifera","Washingtonia filifera"
"washingtonia robusta","Washingtonia robusta"
"xylosma congestum","Xylosma congestum"
"yucca faxoniana","Yucca faxoniana"
"zelkova serrata","Zelkova serrata"
"zelkova serrata 'city sprite'","Zelkova serrata"
"zelkova serrata 'musashino'","Zelkova serrata"
"zelkova serrata 'village green""","Zelkova serrata"
"zelkova serrata ‘schmidtlow’","Zelkova serrata"
